"AU","TI","SO","PY","AB","DE","ID"
"Pitchaya P Indravudh; Augustine T Choko; Elizabeth L Corbett","Scaling up HIV self-testing in sub-Saharan Africa: a review of technology, policy and evidence.","Current opinion in infectious diseases",2019,"HIV self-testing (HIVST) can provide complementary coverage to existing HIV testing services and improve knowledge of status among HIV-infected individuals. This review summarizes the current technology, policy and evidence landscape in sub-Saharan Africa and priorities within a rapidly evolving field. HIVST is moving towards scaled implementation, with the release of WHO guidelines, WHO prequalification of the first HIVST product, price reductions of HIVST products and a growing product pipeline. Multicountry evidence from southern and eastern Africa confirms high feasibility, acceptability and accuracy across many delivery models and populations, with minimal harms. Evidence on the effectiveness of HIVST on increased testing coverage is strong, while evidence on demand generation for follow-on HIV prevention and treatment services and cost-effective delivery is emerging. Despite these developments, HIVST delivery remains limited outside of pilot implementation. Important technology gaps include increasing availability of more sensitive HIVST products in low and middle-income countries. Regulatory and postmarket surveillance systems for HIVST also require further development. Randomized trials evaluating the effectiveness and cost-effectiveness under multiple distribution models, including unrestricted delivery and with a focus on linkage to HIV prevention and treatment, remain priorities. Diversification of studies from west and central Africa and around blood-based products should be addressed.","","10.1097/QCO.0000000000000426"
"Sébastien Morin; Nelli Bazarova; Philippe Jacon; Stefano Vella","The Manufacturers' Perspective on World Health Organization Prequalification of In Vitro Diagnostics.","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America",2019,"In vitro diagnostic devices (IVDs) help clinicians determine specific conditions, monitor therapeutic efficacy, and prevent drug resistance development. While stringent regulatory authorities (SRAs) regulate IVDs in most high-income countries, regulatory authorities in many low- and middle-income countries (LMICs) are nonexistent or do not enforce rigorous standards. In 2010, the World Health Organization established its Prequalification of In Vitro Diagnostics (PQDx) program to ensure ""access to safe, appropriate and affordable"" IVDs, especially in LMICs with little or no domestic regulatory frameworks, thereby reaching underserved populations. However, challenges in PQDx policies and procedures include an overloaded pipeline, timelines not publicly available, confusion about which products PQDx focuses on, perceived burden for documenting changes to prequalified products, overlap with SRA approvals, and uncertainty around long-term financing. PQDx can maximize its impact by considering the perspective of IVD manufacturers; similarly, IVD manufacturers should exercise adequate quality control over their submissions and associated processes.","World Health Organization; in vitro diagnostics; low- and middle-income countries; prequalification; regulatory environment","10.1093/cid/cix719"
"Stanley Plotkin; James M Robinson; Gerard Cunningham; Robyn Iqbal; Shannon Larsen","The complexity and cost of vaccine manufacturing - An overview.","Vaccine",2018,"As companies, countries, and governments consider investments in vaccine production for routine immunization and outbreak response, understanding the complexity and cost drivers associated with vaccine production will help to inform business decisions. Leading multinational corporations have good understanding of the complex manufacturing processes, high technological and R&D barriers to entry, and the costs associated with vaccine production. However, decision makers in developing countries, donors and investors may not be aware of the factors that continue to limit the number of new manufacturers and have caused attrition and consolidation among existing manufacturers. This paper describes the processes and cost drivers in acquiring and maintaining licensure of childhood vaccines. In addition, when export is the goal, we describe the requirements to supply those vaccines at affordable prices to low-resource markets, including the process of World Health Organization (WHO) prequalification and supporting policy recommendation. By providing a generalized and consolidated view of these requirements we seek to build awareness in the global community of the benefits and costs associated with vaccine manufacturing and the challenges associated with maintaining consistent supply. We show that while vaccine manufacture may prima facie seem an economic growth opportunity, the complexity and high fixed costs of vaccine manufacturing limit potential profit. Further, for most lower and middle income countries a large majority of the equipment, personnel and consumables will need to be imported for years, further limiting benefits to the local economy.","Gavi; Licensure; Manufacturing; Manufacturing costs; Quality; UNICEF; Vaccines; WHO, Prequalification","10.1016/j.vaccine.2017.06.003"
"Vittal Mogasale; Enusa Ramani; Il Yeon Park; Jung Seok Lee","A forecast of typhoid conjugate vaccine introduction and demand in typhoid endemic low- and middle-income countries to support vaccine introduction policy and decisions.","Human vaccines & immunotherapeutics",2018,"A Typhoid Conjugate Vaccine (TCV) is expected to acquire WHO prequalification soon, which will pave the way for its use in many low- and middle-income countries where typhoid fever is endemic. Thus it is critical to forecast future vaccine demand to ensure supply meets demand, and to facilitate vaccine policy and introduction planning. We forecasted introduction dates for countries based on specific criteria and estimated vaccine demand by year for defined vaccination strategies in 2 scenarios: rapid vaccine introduction and slow vaccine introduction. In the rapid introduction scenario, we forecasted 17 countries and India introducing TCV in the first 5 y of the vaccine's availability while in the slow introduction scenario we forecasted 4 countries and India introducing TCV in the same time period. If the vaccine is targeting infants in high-risk populations as a routine single dose, the vaccine demand peaks around 40 million doses per year under the rapid introduction scenario. Similarly, if the vaccine is targeting infants in the general population as a routine single dose, the vaccine demand increases to 160 million doses per year under the rapid introduction scenario. The demand forecast projected here is an upper bound estimate of vaccine demand, where actual demand depends on various factors such as country priorities, actual vaccine introduction, vaccination strategies, Gavi financing, costs, and overall product profile. Considering the potential role of TCV in typhoid control globally; manufacturers, policymakers, donors and financing bodies should work together to ensure vaccine access through sufficient production capacity, early WHO prequalification of the vaccine, continued Gavi financing and supportive policy.","Typhoid conjugate vaccine; demand forecast; vaccine introduction","10.1080/21645515.2017.1333681"
"Birgitte K Giersing; Anna-Lea Kahn; Courtney Jarrahian; Mercy Mvundura; Carmen Rodriguez; Hiromasa Okayasu; Darin Zehrung","Challenges of vaccine presentation and delivery: How can we design vaccines to have optimal programmatic impact?","Vaccine",2018,"Immunization program delivery strategies that enable high vaccine coverage, particularly in inaccessible and remote areas, are critical to achieving optimal vaccine impact. In addition to demonstration of safety and efficacy, there are many factors that influence whether a newly licensed vaccine will be introduced into a country's national immunization program, particularly in resource-constrained environments. This paper describes three case studies of novel approaches that represent the potential for improved programmatic impact by increasing vaccine accessibility in different ways. However, the pathway to regulatory approval, policy recommendation, and program introduction in low- and middle-income countries is complex, requiring engagement with multiple, diverse stakeholders. Consideration of aspects that affect uptake in low- and middle-income countries, during the product development stage, will help better position new or second-generation vaccine products for successful implementation to achieve public health impact.","Delivery technologies; Low- and middle-income countries; Prequalification; Product development; Programmatic suitability; Vaccine","10.1016/j.vaccine.2017.04.063"
"Melissa L Mugambi; Kara M Palamountain; Jim Gallarda; Paul K Drain","Exploring the Case for a Global Alliance for Medical Diagnostics Initiative.","Diagnostics (Basel, Switzerland)",2023,"In recent years, the private and public sectors have increased investments in medical diagnostics for low- and middle-income countries (LMICs). Despite these investments, numerous barriers prevent the adoption of existing diagnostics and discourage the development and introduction of new diagnostics in LMICs. In the late 1990s, the global vaccine community had similar challenges, as vaccine coverage rates stagnated and the introduction of new vaccines was viewed as a distraction to delivering existing vaccines. To address these challenges, the international community came together and formed the Global Alliance for Vaccines Initiative (GAVI). Sixteen years after the formation of GAVI, we see evidence of a healthier global vaccine landscape. We discuss how GAVI's four guiding principles (product, health systems strengthening, financing and market shaping) might apply to the advancement of medical diagnostics in LMICs. We present arguments for the international community and existing organizations to establish a Global Alliance for Medical Diagnostics Initiative (GAMDI).","alliance; global health; low- and middle-income countries; point-of-care diagnostics","10.3390/diagnostics7010008"
"Vincent Ahonkhai; Samuel F Martins; Alexandre Portet; Murray Lumpkin; Dan Hartman","Speeding Access to Vaccines and Medicines in Low- and Middle-Income Countries: A Case for Change and a Framework for Optimized Product Market Authorization.","PloS one",2017,"The United Nations Millennium Development Goals galvanized global efforts to alleviate suffering of the world's poorest people through unprecedented public-private partnerships. Donor aid agencies have demonstrably saved millions of lives that might otherwise have been lost to disease through increased access to quality-assured vaccines and medicines. Yet, the introduction of these health interventions in low- and middle-income countries (LMICs) continues to face a time lag due to factors which remain poorly understood. A recurring theme from our partnership engagements was that an optimized regulatory process would contribute to improved access to quality health products. Therefore, we investigated the current system for medicine and vaccine registration in LMICs as part of our comprehensive regulatory strategy. Here, we report a fact base of the registration timelines for vaccines and drugs used to treat certain communicable diseases in LMICs. We worked with a broad set of stakeholders, including the World Health Organization's prequalification team, national regulatory authorities, manufacturers, procurers, and other experts, and collected data on the timelines between first submission and last approval of applications for product registration sub-Saharan Africa. We focused on countries with the highest burden of communicable disease and the greatest need for the products studied. The data showed a typical lag of 4 to 7 years between the first regulatory submission which was usually to a regulatory agency in a high-income country, and the final approval in Sub-Saharan Africa. Two of the three typical registration steps which products undergo before delivery in the countries involve lengthy timelines. Failure to leverage or rely on the findings from reviews already performed by competent regulatory authorities, disparate requirements for product approval by the countries, and lengthy timelines by manufacturers to respond to regulatory queries were key underlying factors for the delays. We propose a series of measures which we developed in close collaboration with key stakeholders that could be taken to reduce registration time and to make safe, effective medicines more quickly available in countries where they are most needed. Many of these recommendations are being implemented by the responsible stakeholders, including the WHO prequalification team and the national regulatory authorities in Sub-Saharan Africa. Those efforts will be the focus of subsequent publications by the pertinent groups.","","10.1371/journal.pone.0166515"
"Sachin N Desai; Lorenzo Pezzoli; Kathryn P Alberti; Stephen Martin; Alejandro Costa; William Perea; Dominique Legros","Achievements and challenges for the use of killed oral cholera vaccines in the global stockpile era.","Human vaccines & immunotherapeutics",2017,"Cholera remains an important but neglected public health threat, affecting the health of the poorest populations and imposing substantial costs on public health systems. Cholera can be eliminated where access to clean water, sanitation, and satisfactory hygiene practices are sustained, but major improvements in infrastructure continue to be a distant goal. New developments and trends of cholera disease burden, the creation of affordable oral cholera vaccines (OCVs) for use in developing countries, as well as recent evidence of vaccination impact has created an increased demand for cholera vaccines. The global OCV stockpile was established in 2013 and with support from Gavi, has assisted in achieving rapid access to vaccine in emergencies. Recent WHO prequalification of a second affordable OCV supports the stockpile goals of increased availability and distribution to affected populations. It serves as an essential step toward an integrated cholera control and prevention strategy in emergency and endemic settings.","Vibrio cholerae; cholera vaccine; global landscape; vaccine stockpile","10.1080/21645515.2016.1245250"
"Naveen Thacker; Deep Thacker; Ashish Pathak","Role of Global Alliance for Vaccines and Immunization (GAVI) in Accelerating Inactivated Polio Vaccine Introduction.","Indian pediatrics",2017,"Global Alliance for Vaccines and Immunization (GAVI, the Vaccine Alliance) is an international organization built through public-private partnership. GAVI has supported more than 200 vaccine introductions in the last 5 years by financing major proportion of costs of vaccine to 73 low-income countries using a co-financing model. GAVI has worked in close co-ordination with Global Polio Eradication Initiative (GPEI) since 2013, to strengthen health systems in countries so as to accelerate introduction of inactivated polio vaccine (IPV). GAVI is involved in many IPV related issues like demand generation, supply, market shaping, communications, country readiness etc. Most of the 73 GAVI eligible countries are also high priority countries for GPEI. GAVI support has helped India to accelerate introduction of IPV in all its states. However, GAVI faces challenges in IPV supply-related issues in the near future. It also needs to play a key role in global polio legacy planning and implementation.","","27771641"
"Anagha Loharikar; Laure Dumolard; Susan Chu; Terri Hyde; Tracey Goodman; Carsten Mantel","Status of New Vaccine Introduction - Worldwide, September 2016.","MMWR. Morbidity and mortality weekly report",2017,"Since the global Expanded Program on Immunization (EPI) was launched in 1974, vaccination against six diseases (tuberculosis, polio, diphtheria, tetanus, pertussis, and measles) has prevented millions of deaths and disabilities (1). Significant advances have been made in the development and introduction of vaccines, and licensed vaccines are now available to prevent 25 diseases (2,3). Historically, new vaccines only became available in low-income and middle-income countries decades after being introduced in high-income countries. However, with the support of global partners, including the World Health Organization (WHO) and the United Nations Children's Fund, which assist with vaccine prequalification and procurement, as well as Gavi, the Vaccine Alliance (Gavi) (4), which provides funding and shapes vaccine markets through forecasting and assurances of demand in low-income countries in exchange for lower vaccine prices, vaccines are now introduced more rapidly. Based on data compiled in the WHO Immunization Vaccines and Biologicals Database* (5), this report describes the current status of introduction of Haemophilus influenzae type b (Hib), hepatitis B, pneumococcal conjugate, rotavirus, human papillomavirus, and rubella vaccines, and the second dose of measles vaccine. As of September 2016, a total of 191 (99%) of 194 WHO member countries had introduced Hib vaccine, 190 (98%) had introduced hepatitis B vaccine, 132 (68%) had introduced pneumococcal conjugate vaccine (PCV), and 86 (44%) had introduced rotavirus vaccine into infant vaccination schedules. Human papillomavirus vaccine (HPV) had been introduced in 67 (35%) countries, primarily targeted for routine use in adolescent girls. A second dose of measles-containing vaccine (MCV2) had been introduced in 161 (83%) countries, and rubella vaccine had been introduced in 149 (77%). These efforts support the commitment outlined in the Global Vaccine Action Plan (GVAP), 2011-2020 (2), endorsed by the World Health Assembly in 2012, to extend the full benefits of immunization to all persons.","","10.15585/mmwr.mm6541a3"
"Laszlo Palkonyay; Hiba Fatima","A decade of adaptation: Regulatory contributions of the World Health Organization to the Global Action Plan for Influenza Vaccines (2006-2016).","Vaccine",2017,"The Global Action Plan (GAP) for Influenza Vaccines is a decade-long initiative that brings together a diverse range of stakeholders to work towards reducing anticipated global shortage of influenza vaccines and ensuring more equitable access to vaccines during the next influenza pandemic. Since its inception in 2006, significant progress has been made towards all the main objectives of GAP, namely: (1) an increase in seasonal vaccine use, (2) an increase in vaccine production, and (3) progress in research and development of more effective vaccines. The Technology Transfer Initiative (TTI), conceived and managed by WHO under the GAP, contributed to increasing regional influenza vaccine production capacity. This was achieved by facilitating technology transfer in 14 low- and middle-income countries, through grants to manufacturers to establish or strengthen influenza vaccine production capacity and support to their national regulatory authorities. Five of the countries subsequently licensed locally produced influenza vaccines; two pandemic and three seasonal vaccines received WHO prequalification. The success of GAP can be largely attributed to the regulatory support provided by WHO to both manufacturers and regulators. This support had two components: (1) direct regulatory support to GAP/TTI, and (2) support to GAP-related WHO programmes, such as the Pandemic Influenza Vaccine Deployment Initiative in 2010 and the Pandemic Influenza Preparedness Framework since 2013, especially in non-vaccine-producing countries. Temporary adaptation of the assessment process for influenza vaccines in the WHO Vaccine Prequalification Programme to the A(H1N1) pandemic situation in 2009 was instrumental to the success of the WHO Pandemic Influenza Vaccine Deployment Initiative in its attempt to meet the demand for pandemic vaccines in countries that received donated vaccines.","Influenza; Pandemic vaccine; Regulatory support; Technology transfer; Vaccine manufacturing; Vaccine regulation; Vaccine supply; WHO","10.1016/j.vaccine.2016.07.025"
"Nora Dellepiane; Bartholomew Dicky Akanmori; Sunil Gairola; Suresh S Jadhav; Cathy Parker; Carmen Rodriguez; Swati Srivastava","Regulatory Pathways That Facilitated Timely Registration of a New Group A Meningococcal Conjugate Vaccine for Africa's Meningitis Belt Countries.","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America",2016,"Through its normative and public health leadership roles, the World Health Organization (WHO) plays a key role in the availability of vaccine products in low-and middle-income countries. The recent introduction of a new group A meningococcal conjugate vaccine, PsA-TT (MenAfriVac), in Africa exemplifies this process. WHO requires that any new vaccine to be introduced in countries for public health reasons and supplied through United Nations centralized mechanisms be licensed by the national regulatory agency (NRA) in the producing country, then prequalified and given a marketing authorization in the user countries. PsA-TT was manufactured by the Serum Institute of India, Ltd (SIIL), which submitted a license application in April 2009 to the Drug Controller General of India (DCGI), the Indian NRA responsible for licensing vaccines. WHO encouraged the DCGI to establish a collaboration with Health Canada's Centre for Vaccine Evaluation for the review. Through this collaborative effort, registration was facilitated and in December 2009 an export license was granted to SIIL, which subsequently submitted an application for WHO prequalification. Given the importance of the vaccine, WHO ""fast tracked"" the prequalification review, and after a detailed review and site visit, WHO prequalification was granted to PsA-TT in June 2010. Country use of the new vaccine could not occur until the vaccine was a registered product in each country seeking its use. WHO facilitated country reviews by conducting regulatory training exercises (in French and English) for country NRA staff, which used the PsA-TT registration as a case study. PsA-TT was gradually registered in African countries as vaccine introduction proceeded. The regulatory pathway for this new group A meningococcal conjugate vaccine proved to be a useful training opportunity both in India and Africa, because the availability of the vaccine was a high African public health priority, as well as for WHO as a case study to facilitate registration of vaccines based on reliance on other regulatory bodies.","fast-track procedure; low- and middle-income countries; market authorization; national regulatory authorities; prequalification","10.1093/cid/civ491"
"Jude Nwokike; Lassane Kabore; Andy Stergachis","Actions of the National Regulatory Authorities in 10 Low- and Middle-Income Countries Following Stringent Regulatory Authority Safety Alerts on Rosiglitazone.","Therapeutic innovation & regulatory science",2020,"On September 23, 2010, the US Food and Drug Administration and the European Medicines Agency issued safety alerts for medicines containing rosiglitazone. The authors monitored the actions of national regulatory authorities (NRAs) from 10 low- and middle-income countries to identify the time lag between the issuance of safety alerts by these two stringent regulatory authorities and any actions by these select NRAs. Two NRAs outside Africa took regulatory actions related to safety of rosiglitazone within 2 weeks of stringent regulatory authority safety alerts. For the 7 of the 8 African NRAs where the authors could confirm the date of regulatory action, the median time lag before some regulatory action was 43 days, although there was considerable variability in time to regulatory action. Low- and middle-income countries should create or strengthen systems for timely consideration and management of emerging safety issues for products that they have registered.","Africa; Asia; FDA; drug safety; pharmacovigilance; rosiglitazone","10.1177/2168479014551644"
"Miao Xu; Zhenglun Liang; Yinghua Xu; Junzhi Wang","Chinese vaccine products go global: vaccine development and quality control.","Expert review of vaccines",2015,"Through the continuous efforts of several generations, China has become one of the few countries in the world that is capable of independently addressing all the requirements by the Expanded Program on Immunization. Regulatory science is applied to continuously improve the vaccine regulatory system. Passing the prequalification by WHO has allowed Chinese vaccine products to go global. Chinese vaccine products not only secure disease prevention and control domestically but also serve the needs for international public health. This article describes the history of Chinese vaccine development, the current situation of Chinese vaccine industry and its contribution to the prevention and control of infectious diseases. We also share our experience of national quality control and vaccine regulation during the past decades. China's experience in vaccine development and quality control can benefit other countries and regions worldwide, including the developing countries.","China; WHO prequalification; infectious diseases; quality control; regulatory science; vaccine","10.1586/14760584.2015.1012503"
"Joep M A Lange; Jintanat Ananworanich","The discovery and development of antiretroviral agents.","Antiviral therapy",2015,"Since the discovery of HIV as the causative agent of AIDS in 1983/1984, remarkable progress has been made in finding antiretroviral drugs (ARVs) that are effective against it. A major breakthrough occurred in 1996 when it was found that triple drug therapy (HAART) could durably suppress viral replication to minimal levels. It was then widely felt, however, that HAART was too expensive and complex for low- and middle-income countries, and so, with the exception of a few of these countries, such as Brazil, a massive scale-up did not begin until the WHO launched its '3 by 5' initiative and sizeable funding mechanisms, such as the Global Fund to Fight AIDS, TB and Malaria and the US President's Emergency Plan for AIDS Relief (PEPFAR), came into existence. A pivotal enabler of the scale-up was a steady lowering of drug prices through entry of generic antiretrovirals, competition between generic manufacturers and the making of volume commitments. The WHO Prequalification of Medicines Programme and the Expedited Review Provision of the US Food and Drug Administration have been important for the assurance of quality standards. Antiretroviral drug development by research-based pharmaceutical companies continues, with several important innovative products, such as long-acting agents, in the pipeline.","","10.3851/IMP2896"
"S Camara; D Zucman; M Vasse; A Goudjo; E Guillard; G Peytavin","[Lack of bioavailability of generic lopinavir/ritonavir not prequalified by WHO marketed in Africa (Congo Brazzaville)].","Bulletin de la Societe de pathologie exotique (1990)",2016,"Although second-line generic antiretroviral drugs are of great value in developing countries there are concerns regarding their quality and safety. This study is a case report and pharmacological study in healthy volunteers. A French subject of sub-saharan origin who visited Republic of Congo received a post-exposure treatment with AZT+3TC and LPV/r (200/50 mg, Arga-L®, India) following unprotected sexual intercourse. Two days later, in France, tests showed that plasma concentrations of lopinavir and ritonavir were undetectable. The WHO prequalification list showed Arga-L® was not prequalified. A pharmacological study in healthy volunteers evaluated oral bioavailability: plasma concentrations of generic LPV/r Arga-L® and LPV/r Kaletra® (400/100 mg) were measured after one single dose at 7 days apart in four healthy volunteers. Concentrations of Arga-L® at 12 h after intake were considerably lower than those of Kaletra®, revealing very low oral bioavailability of generic lopinavir and ritonavir (<10%) compared to the brand-name drug. We found that Arga-L®, despite having adequate qualitative and quantitative drug contents, had very poor bio availability compared to Kaletra®. In order to avoid the selection and the spread of drug-resistant HIV strains, rigorous pharmacological monitoring of generic antiretroviral drugs that are not pre-qualified by WHO, but are marketed in Africa, must be a priority for health authorities.","Bio-equivalence; Congo Brazzaville; Developing countries; France; Generic Drugs; HIV; Hospital; Pharmacokinetic Studies; Ritonavir; Sub-Saharan Africa; WHO; lopinavir","10.1007/s13149-014-0389-y"
"Ellen F M 't Hoen; Hans V Hogerzeil; Jonathan D Quick; Hiiti B Sillo","A quiet revolution in global public health: The World Health Organization's Prequalification of Medicines Programme.","Journal of public health policy",2015,"Problems with the quality of medicines abound in countries where regulatory and legal oversight are weak, where medicines are unaffordable to most, and where the official supply often fails to reach patients. Quality is important to ensure effective treatment, to maintain patient and health-care worker confidence in treatment, and to prevent the development of resistance. In 2001, the WHO established the Prequalification of Medicines Programme in response to the need to select good-quality medicines for UN procurement. Member States of the WHO had requested its assistance in assessing the quality of low-cost generic medicines that were becoming increasingly available especially in treatments for HIV/AIDS. From a public health perspective, WHO PQP's greatest achievement is improved quality of life-saving medicines used today by millions of people in developing countries. Prequalification has made it possible to believe that everyone in the world will have access to safe, effective, and affordable medicines. Yet despite its track record and recognized importance to health, funding for the programme remains uncertain.","","10.1057/jphp.2013.53"
"Joachim Y Doua; Jean-Pierre Van Geertruyden","Registering medicines for low-income countries: how suitable are the stringent review procedures of the World Health Organisation, the US Food and Drug Administration and the European Medicines Agency?","Tropical medicine & international health : TM & IH",2014,"New medicines are registered after a resource-demanding process. Unfortunately, in low-income countries (LICs), demand outweighs resources. To facilitate registration in LICs, stringent review procedures of the European Medicines Agency (EMA Article-58), Food and Drug Administration (FDA PEPFAR-linked review) and WHO Prequalification programme have been established. Only the PEPFAR-linked review gives approval, while the others make recommendations for approval. This study assessed the performance and discussed the challenges of these three stringent review procedures. Data from WHO, FDA, EMA, Medline and Internet were analysed. Over 60% of medicines reviewed by stringent review procedures are manufactured in India. Until 2012, WHO prequalified 400 medicines (211 vaccines, 130 antiretrovirals, 29 tuberculostatics, 15 antimalarials and 15 others). PEPFAR-linked review approved 156 antiretrovirals, while EMA Article 58 recommended approval of 3 antiretrovirals, 1 vaccine and 1 antimalarial. WHO Prequalification and PEPFAR-linked review are free of charge and as a result have accelerated access to antiretrovirals. They both built capacity in sub-Saharan Africa, although WHO prequalification relies technically on stringent regulatory authorities and financially on donors. Article-58 offers the largest disease coverage and strongest technical capacities, is costly and involves fewer LICs. To meet the high demand for quality medicines in LICs, these stringent review procedures need to enlarge their disease coverage. To improve registration, EMA Article 58 should actively involve LICs. Furthermore, LIC regulatory activities must not be fully resigned to stringent review procedure.","developing countries; drug approval; stringent evaluation procedure","10.1111/tmi.12201"
"L Renner; F A Nkansah; A N O Dodoo","The role of generic medicines and biosimilars in oncology in low-income countries.","Annals of oncology : official journal of the European Society for Medical Oncology",2014,"Cancer cases are rising in developing countries which are already grappling with high levels of infectious diseases including human immunodeficiency virus/acquired immunodeficiency syndrome (HIV/AIDS), tuberculosis (TB) and malaria. The United Nations (UN) including the World Health Organisation (WHO) have called on member states to establish strategies to deal with the increasing burden of non-communicable diseases, including cancer, in developing countries. The complexity of cancer care and management calls for innovative approaches in low resource settings especially since these settings are already grappling with huge challenges in healthcare including lack of funds, weak human resource base and lack of treatment guidelines. Whilst the cost of medications is by no means the only high cost in cancer care, the availability of affordable anti-cancer generic drugs and biologically similar therapeutic agents (biosimilars) will go a long way to reduce overall cost of cancer care. The high cost of anticancer medicines has been cited among the reasons whilst patients default in treatment. Non-proprietary anti-cancer agents--generics and biosimilars--often cost several times lower than their innovator branded counterparts. They can reduce the cost of care significantly and their multi-source origin often provide guarantee in supply. The use of generic and biosimilar products is hinged on the assumption that they are of assured quality and of the same pharmaceutical integrity as their innovator counterparts. The use of these products however is associated with challenges that must be understood and addressed. The quality of all generics and biosimilars should be rigorously controlled and assured. Measures to prevent counterfeit and sub-standard generics and biosimilars should be developed and the cold-chain must be maintained for all biosimilars. In addition to these, the WHO is encouraged to develop a prequalification scheme to assist countries without strong regulatory systems to procure anticancer generics and biosimilars of assured quality.","","10.1093/annonc/mdt326"
"Roger Bate; Kimberly Hess","The role of pre-shipment batch testing in ensuring good medicine quality.","MalariaWorld journal",2024,"Most donor agencies only procure drugs approved by a Stringent Regulatory Authority or the World Health Organization (WHO) Prequalification Programme in an effort to ensure high quality. However, the US President's Malaria Initiative has occasionally had to return approved drugs with quality issues to the manufacturer. This study compares the quality of artemisinin-based combination therapies (ACTs) produced by WHO-approved manufacturers with non-approved manufacturers and suggests policy changes to improve quality of donor-procured drugs. Over the past five years, covert shoppers procured 1203 samples of ACTs from private pharmacies and drug stores in 16 cities across 14 developing countries. Samples were assessed using the Global Pharma Health Fund e.V. Minilab®protocol to identify substandard, degraded or counterfeit products, and a large number of suspect products were further analysed using high-performance liquid chromatography. Out of 1203 ACTs, 684 were produced by WHO-approved manufacturers and 519 were produced by non-WHO approved manufacturers. 2.6% (18/684) of ACTs of WHO-approved manufacturers had insufficient active pharmaceutical ingredient (less than 75%), while 12.5% (65/519) of ACTs of non-approved manufacturers had too little active pharmaceutical ingredient, and were considered substandard. The results of this study suggest that ACTs produced by WHO-approved manufacturers perform nearly five times better than those of non-approved manufacturers, but some approved ACTs have too little active pharmaceutical ingredient. The US President's Malaria Initiative tests every batch of every drug it procures before distribution to recipient countries. Other donors should follow suit to ensure that drugs purchased with taxpayer dollars are of the highest quality.","","10.5281/zenodo.10997689"
"Shawn A N Gilchrist; Angeline Nanni","Lessons learned in shaping vaccine markets in low-income countries: a review of the vaccine market segment supported by the GAVI Alliance.","Health policy and planning",2015,"The Global Alliance for Vaccines and Immunization (GAVI) anticipated that growing demand for new vaccines could sufficiently impact the vaccines market to allow low-income countries (LICs) to self-finance new vaccines. But the time required to lower vaccine prices was underestimated and the amount that prices would decline overestimated. To better understand how prices in the LIC vaccine market can be impacted, the vaccine market was retrospectively examined. GAVI archives and the published literature on the vaccine markets in LICs were reviewed for the purpose of identifying GAVI's early assumptions for the evolution of vaccine prices, and contrasting these retrospectively with actual outcomes. The prices in Phases I and II of GAVI-supported vaccines failed to decline to a desirable level within a projected 5-year timeframe. GAVI-eligible countries were unable to sustain newly introduced vaccines without prolonged donor support. Two key lessons can be applied to future vaccine market-shaping strategies: (1) accurate demand forecasting together with committed donor funding can increase supply to the LIC vaccines market, but even greater strides can be made to increase the certainty of purchase; and (2) the expected time to lower prices took much longer than 5 years; market competition is inherently linked to the development time for new vaccines--a minimum of 5-10 or more years. Other factors that can lower vaccine prices include: large-scale production or alternate financing mechanisms that can hasten vaccine price maturation. The impacts of competition on vaccine prices in the LIC new-vaccines market occurred after almost 10 years. The time for research and development, acquisition of technological know-how and to scale production must be accounted for to more accurately predict significant declines on vaccine prices. Alternate financing mechanisms and the use of purchase agreements should also be considered for lowering prices when planning new vaccine introductions.","Developing country vaccine market; donor assistance policies; economics of vaccines; global immunization policy; new vaccine introduction strategies","10.1093/heapol/czs123"
"D A Schmid; A Macura-Biegun; M Rauscher","Development and introduction of a ready-to-use pediatric pentavalent vaccine to meet and sustain the needs of developing countries--Quinvaxem®: the first 5 years.","Vaccine",2013,"Quinvaxem(®) injection (DTwP-HepB-Hib fully-liquid combined vaccine) is a ready-to-use, preservative-free, fully-liquid combined vaccine containing diphtheria and tetanus toxoids, Bordetella pertussis inactivated cellular suspension, hepatitis B surface antigen (HBsAg), and Haemophilus influenzae type b conjugated oligosaccharide. The vaccine was the first ready-to-use, fully-liquid pentavalent vaccine to gain WHO pre-qualification status in 2006. The immunogenicity and safety of Quinvaxem(®) was assessed in four clinical trials and a large post-marketing surveillance study. Quinvaxem(®) was found to be highly immunogenic in each of the primary vaccination studies and was also shown to be suitable as a booster with the advantage that it could be given concomitantly with measles vaccine. Quinvaxem(®) has become a cornerstone in EPI vaccination programs. To further support the needs of EPI vaccination processes and developing countries, a simple, all-in-one, compact, prefilled, auto-disabled Uniject(®) injection system has been chosen and optimized as a potential new presentation for Quinvaxem(®). Hopefully, Quinvaxem(®) in the Uniject(®) presentation will help vaccination programs in developing countries to achieve more.","","10.1016/j.vaccine.2012.07.088"
